Source	Target	Type	Confidence	Rule_ID	Quality_Tier	Meets_Original_Threshold
X276_RS26975	X276_RS21140	activation	1.000	X276_RS21140_rule_1	high	True
X276_RS22500	X276_RS21140	activation	1.000	X276_RS21140_rule_2	high	True
X276_RS26975	X276_RS21140	activation	1.000	X276_RS21140_rule_1	high	True
X276_RS26915	X276_RS23275	inhibition	1.000	X276_RS23275_rule_1	high	True
X276_RS09165	X276_RS23275	inhibition	1.000	X276_RS23275_rule_2	high	True
X276_RS09450	X276_RS23275	inhibition	1.000	X276_RS23275_rule_3	high	True
X276_RS21405	X276_RS27430	activation	1.000	X276_RS27430_rule_1	high	True
X276_RS21290	X276_RS27430	activation	1.000	X276_RS27430_rule_2	high	True
X276_RS04125	X276_RS27430	activation	1.000	X276_RS27430_rule_3	high	True
X276_RS25390	X276_RS03340	activation	0.933	X276_RS03340_rule_1	high	True
X276_RS21350	X276_RS03340	activation	0.933	X276_RS03340_rule_2	high	True
X276_RS21355	X276_RS03340	activation	0.933	X276_RS03340_rule_3	high	True
X276_RS07445	X276_RS26895	inhibition	1.000	X276_RS26895_rule_1	high	True
X276_RS01980	X276_RS26895	inhibition	1.000	X276_RS26895_rule_1	high	True
X276_RS09440	X276_RS26895	inhibition	1.000	X276_RS26895_rule_1	high	True
X276_RS01990	X276_RS26895	inhibition	1.000	X276_RS26895_rule_2	high	True
X276_RS07445	X276_RS26895	inhibition	1.000	X276_RS26895_rule_2	high	True
X276_RS09440	X276_RS26895	inhibition	1.000	X276_RS26895_rule_2	high	True
X276_RS07445	X276_RS26895	inhibition	1.000	X276_RS26895_rule_3	high	True
X276_RS01980	X276_RS26895	inhibition	1.000	X276_RS26895_rule_3	high	True
X276_RS20515	X276_RS26895	inhibition	1.000	X276_RS26895_rule_3	high	True
X276_RS00025	X276_RS10140	activation	1.000	X276_RS10140_rule_1	high	True
X276_RS05025	X276_RS10140	activation	1.000	X276_RS10140_rule_2	high	True
X276_RS00025	X276_RS10140	activation	1.000	X276_RS10140_rule_1	high	True
X276_RS21950	X276_RS23270	activation	0.952	X276_RS23270_rule_1	high	True
X276_RS26455	X276_RS23270	activation	0.952	X276_RS23270_rule_2	high	True
X276_RS21990	X276_RS23270	activation	0.952	X276_RS23270_rule_3	high	True
X276_RS26905	X276_RS24955	activation	1.000	X276_RS24955_rule_1	high	True
X276_RS26900	X276_RS24955	activation	1.000	X276_RS24955_rule_2	high	True
X276_RS26935	X276_RS24955	activation	1.000	X276_RS24955_rule_3	high	True
X276_RS06165	X276_RS06155	activation	1.000	X276_RS06155_rule_1	high	True
X276_RS25925	X276_RS06155	activation	1.000	X276_RS06155_rule_2	high	True
X276_RS25980	X276_RS06155	activation	1.000	X276_RS06155_rule_3	high	True
X276_RS21990	X276_RS28360	activation	1.000	X276_RS28360_rule_1	high	True
X276_RS25235	X276_RS28360	activation	1.000	X276_RS28360_rule_2	high	True
X276_RS25220	X276_RS28360	activation	1.000	X276_RS28360_rule_3	high	True
X276_RS03065	X276_RS08815	activation	1.000	X276_RS08815_rule_1	high	True
X276_RS04450	X276_RS08815	activation	1.000	X276_RS08815_rule_2	high	True
X276_RS08090	X276_RS08815	activation	1.000	X276_RS08815_rule_3	high	True
X276_RS04450	X276_RS00235	activation	1.000	X276_RS00235_rule_1	high	True
X276_RS04485	X276_RS00235	activation	1.000	X276_RS00235_rule_2	high	True
X276_RS04545	X276_RS00235	activation	1.000	X276_RS00235_rule_3	high	True
X276_RS19830	X276_RS27530	activation	0.889	X276_RS27530_rule_1	high	True
X276_RS19830	X276_RS27530	activation	0.889	X276_RS27530_rule_1	high	True
X276_RS19830	X276_RS27530	activation	0.889	X276_RS27530_rule_1	high	True
X276_RS00235	X276_RS08090	activation	1.000	X276_RS08090_rule_1	high	True
X276_RS07540	X276_RS08090	activation	1.000	X276_RS08090_rule_2	high	True
X276_RS08170	X276_RS08090	activation	1.000	X276_RS08090_rule_3	high	True
X276_RS00325	X276_RS12385	activation	0.933	X276_RS12385_rule_1	high	True
X276_RS13115	X276_RS12385	activation	0.933	X276_RS12385_rule_2	high	True
X276_RS27595	X276_RS12385	activation	0.933	X276_RS12385_rule_3	high	True
X276_RS08140	X276_RS24960	activation	0.947	X276_RS24960_rule_1	high	True
X276_RS08140	X276_RS24960	activation	0.947	X276_RS24960_rule_1	high	True
X276_RS08140	X276_RS24960	activation	0.947	X276_RS24960_rule_1	high	True
X276_RS07540	X276_RS11450	activation	1.000	X276_RS11450_rule_1	high	True
X276_RS20965	X276_RS11450	activation	1.000	X276_RS11450_rule_2	high	True
X276_RS21700	X276_RS11450	activation	1.000	X276_RS11450_rule_3	high	True
X276_RS25970	X276_RS21245	activation	1.000	X276_RS21245_rule_1	high	True
X276_RS21770	X276_RS21245	activation	1.000	X276_RS21245_rule_2	high	True
X276_RS25255	X276_RS21245	activation	1.000	X276_RS21245_rule_3	high	True
X276_RS03145	X276_RS07250	activation	1.000	X276_RS07250_rule_1	high	True
X276_RS26925	X276_RS07250	activation	1.000	X276_RS07250_rule_2	high	True
X276_RS03145	X276_RS07250	activation	1.000	X276_RS07250_rule_1	high	True
X276_RS27430	X276_RS21405	activation	1.000	X276_RS21405_rule_1	high	True
X276_RS21290	X276_RS21405	activation	1.000	X276_RS21405_rule_2	high	True
X276_RS04125	X276_RS21405	activation	1.000	X276_RS21405_rule_3	high	True
X276_RS25745	X276_RS18375	inhibition	1.000	X276_RS18375_rule_1	high	True
X276_RS00415	X276_RS18375	activation	1.000	X276_RS18375_rule_1	high	True
X276_RS25745	X276_RS18375	inhibition	1.000	X276_RS18375_rule_1	high	True
X276_RS00415	X276_RS18375	activation	1.000	X276_RS18375_rule_1	high	True
X276_RS25745	X276_RS18375	inhibition	1.000	X276_RS18375_rule_1	high	True
X276_RS00415	X276_RS18375	activation	1.000	X276_RS18375_rule_1	high	True
X276_RS25390	X276_RS21395	activation	1.000	X276_RS21395_rule_1	high	True
X276_RS21465	X276_RS21395	activation	1.000	X276_RS21395_rule_2	high	True
X276_RS21475	X276_RS21395	activation	1.000	X276_RS21395_rule_3	high	True
X276_RS04950	X276_RS27330	activation	1.000	X276_RS27330_rule_1	high	True
X276_RS26475	X276_RS27330	activation	1.000	X276_RS27330_rule_2	high	True
X276_RS25825	X276_RS27330	activation	1.000	X276_RS27330_rule_3	high	True
X276_RS26915	X276_RS12545	activation	1.000	X276_RS12545_rule_1	high	True
X276_RS09165	X276_RS12545	activation	1.000	X276_RS12545_rule_2	high	True
X276_RS09450	X276_RS12545	activation	1.000	X276_RS12545_rule_3	high	True
X276_RS11755	X276_RS13575	activation	1.000	X276_RS13575_rule_1	high	True
X276_RS11665	X276_RS13575	activation	1.000	X276_RS13575_rule_2	high	True
X276_RS13595	X276_RS13575	activation	1.000	X276_RS13575_rule_3	high	True
X276_RS11755	X276_RS13580	activation	1.000	X276_RS13580_rule_1	high	True
X276_RS11665	X276_RS13580	activation	1.000	X276_RS13580_rule_2	high	True
X276_RS13595	X276_RS13580	activation	1.000	X276_RS13580_rule_3	high	True
X276_RS12030	X276_RS21515	activation	1.000	X276_RS21515_rule_1	high	True
X276_RS06165	X276_RS21515	activation	1.000	X276_RS21515_rule_2	high	True
X276_RS06155	X276_RS21515	activation	1.000	X276_RS21515_rule_3	high	True
X276_RS11755	X276_RS13595	activation	1.000	X276_RS13595_rule_1	high	True
X276_RS11665	X276_RS13595	activation	1.000	X276_RS13595_rule_2	high	True
X276_RS13590	X276_RS13595	activation	1.000	X276_RS13595_rule_3	high	True
X276_RS25390	X276_RS21355	activation	1.000	X276_RS21355_rule_1	high	True
X276_RS21465	X276_RS21355	activation	1.000	X276_RS21355_rule_2	high	True
X276_RS21475	X276_RS21355	activation	1.000	X276_RS21355_rule_3	high	True
X276_RS25390	X276_RS21465	activation	1.000	X276_RS21465_rule_1	high	True
X276_RS21450	X276_RS21465	activation	1.000	X276_RS21465_rule_2	high	True
X276_RS25975	X276_RS21465	activation	1.000	X276_RS21465_rule_3	high	True
X276_RS11755	X276_RS13545	activation	1.000	X276_RS13545_rule_1	high	True
X276_RS11665	X276_RS13545	activation	1.000	X276_RS13545_rule_2	high	True
X276_RS13595	X276_RS13545	activation	1.000	X276_RS13545_rule_3	high	True
X276_RS11755	X276_RS13590	activation	1.000	X276_RS13590_rule_1	high	True
X276_RS11665	X276_RS13590	activation	1.000	X276_RS13590_rule_2	high	True
X276_RS13595	X276_RS13590	activation	1.000	X276_RS13590_rule_3	high	True
X276_RS27430	X276_RS21290	activation	1.000	X276_RS21290_rule_1	high	True
X276_RS21405	X276_RS21290	activation	1.000	X276_RS21290_rule_2	high	True
X276_RS04125	X276_RS21290	activation	1.000	X276_RS21290_rule_3	high	True
X276_RS11755	X276_RS13585	activation	1.000	X276_RS13585_rule_1	high	True
X276_RS11665	X276_RS13585	activation	1.000	X276_RS13585_rule_2	high	True
X276_RS13595	X276_RS13585	activation	1.000	X276_RS13585_rule_3	high	True
X276_RS11755	X276_RS13520	activation	1.000	X276_RS13520_rule_1	high	True
X276_RS11665	X276_RS13520	activation	1.000	X276_RS13520_rule_2	high	True
X276_RS13595	X276_RS13520	activation	1.000	X276_RS13520_rule_3	high	True
X276_RS25390	X276_RS21275	activation	1.000	X276_RS21275_rule_1	high	True
X276_RS21465	X276_RS21275	activation	1.000	X276_RS21275_rule_2	high	True
X276_RS21475	X276_RS21275	activation	1.000	X276_RS21275_rule_3	high	True
X276_RS11755	X276_RS13550	activation	1.000	X276_RS13550_rule_1	high	True
X276_RS11665	X276_RS13550	activation	1.000	X276_RS13550_rule_2	high	True
X276_RS13595	X276_RS13550	activation	1.000	X276_RS13550_rule_3	high	True
X276_RS25390	X276_RS21350	activation	1.000	X276_RS21350_rule_1	high	True
X276_RS21465	X276_RS21350	activation	1.000	X276_RS21350_rule_2	high	True
X276_RS21475	X276_RS21350	activation	1.000	X276_RS21350_rule_3	high	True
X276_RS25390	X276_RS21345	activation	1.000	X276_RS21345_rule_1	high	True
X276_RS21465	X276_RS21345	activation	1.000	X276_RS21345_rule_2	high	True
X276_RS21475	X276_RS21345	activation	1.000	X276_RS21345_rule_3	high	True
X276_RS11755	X276_RS13555	activation	1.000	X276_RS13555_rule_1	high	True
X276_RS11665	X276_RS13555	activation	1.000	X276_RS13555_rule_2	high	True
X276_RS13595	X276_RS13555	activation	1.000	X276_RS13555_rule_3	high	True
X276_RS25390	X276_RS21475	activation	1.000	X276_RS21475_rule_1	high	True
X276_RS21450	X276_RS21475	activation	1.000	X276_RS21475_rule_2	high	True
X276_RS25975	X276_RS21475	activation	1.000	X276_RS21475_rule_3	high	True
X276_RS25390	X276_RS21470	activation	1.000	X276_RS21470_rule_1	high	True
X276_RS21450	X276_RS21470	activation	1.000	X276_RS21470_rule_2	high	True
X276_RS25975	X276_RS21470	activation	1.000	X276_RS21470_rule_3	high	True
X276_RS11755	X276_RS13560	activation	1.000	X276_RS13560_rule_1	high	True
X276_RS11665	X276_RS13560	activation	1.000	X276_RS13560_rule_2	high	True
X276_RS13595	X276_RS13560	activation	1.000	X276_RS13560_rule_3	high	True
X276_RS11755	X276_RS13535	activation	1.000	X276_RS13535_rule_1	high	True
X276_RS11665	X276_RS13535	activation	1.000	X276_RS13535_rule_2	high	True
X276_RS13595	X276_RS13535	activation	1.000	X276_RS13535_rule_3	high	True
X276_RS25390	X276_RS21450	activation	1.000	X276_RS21450_rule_1	high	True
X276_RS21465	X276_RS21450	activation	1.000	X276_RS21450_rule_2	high	True
X276_RS25975	X276_RS21450	activation	1.000	X276_RS21450_rule_3	high	True
X276_RS11755	X276_RS13540	activation	1.000	X276_RS13540_rule_1	high	True
X276_RS11665	X276_RS13540	activation	1.000	X276_RS13540_rule_2	high	True
X276_RS13595	X276_RS13540	activation	1.000	X276_RS13540_rule_3	high	True
X276_RS11755	X276_RS13530	activation	1.000	X276_RS13530_rule_1	high	True
X276_RS11665	X276_RS13530	activation	1.000	X276_RS13530_rule_2	high	True
X276_RS13595	X276_RS13530	activation	1.000	X276_RS13530_rule_3	high	True
X276_RS11755	X276_RS13525	activation	1.000	X276_RS13525_rule_1	high	True
X276_RS11665	X276_RS13525	activation	1.000	X276_RS13525_rule_2	high	True
X276_RS13595	X276_RS13525	activation	1.000	X276_RS13525_rule_3	high	True
X276_RS25390	X276_RS21280	activation	1.000	X276_RS21280_rule_1	high	True
X276_RS21465	X276_RS21280	activation	1.000	X276_RS21280_rule_2	high	True
X276_RS21475	X276_RS21280	activation	1.000	X276_RS21280_rule_3	high	True
X276_RS03450	X276_RS21130	activation	1.000	X276_RS21130_rule_1	high	True
X276_RS25640	X276_RS21130	activation	1.000	X276_RS21130_rule_2	high	True
X276_RS25135	X276_RS21130	activation	1.000	X276_RS21130_rule_3	high	True
X276_RS21695	X276_RS01655	activation	1.000	X276_RS01655_rule_1	high	True
